S2A_MSIL2A_2024_00034	Hydrological VQA	Locate water bodies and calculate inundation level.	Pastures, Discontinuous urban fabric
S2A_MSIL2A_2024_00035	Hydrological VQA	Locate water bodies and calculate inundation level.	Inland marshes, Coastal lagoons
S2A_MSIL2A_2024_00036	Change Grounding	Detect commercial and industrial expansion zones.	Discontinuous urban fabric, Mixed forest, Industrial or commercial units, Continuous urban fabric
S2A_MSIL2A_2024_00037	Change Grounding	Detect commercial and industrial expansion zones.	Road and rail networks, Industrial or commercial units
S2A_MSIL2A_2024_00038	Infrastructure VQA	Identify built-up infrastructure and transport corridors.	Airports, Coastal lagoons, Inland marshes, Mixed forest
S2A_MSIL2A_2024_00039	Change Grounding	Detect commercial and industrial expansion zones.	Broad-leaved forest, Road and rail networks, Port areas, Continuous urban fabric
S2A_MSIL2A_2024_00040	Hydrological VQA	Locate water bodies and calculate inundation level.	Water bodies, Coniferous forest, Pastures, Inland marshes
S2A_MSIL2A_2024_00041	Infrastructure VQA	Identify built-up infrastructure and transport corridors.	Water courses, Water bodies
S2A_MSIL2A_2024_00042	Change Grounding	Detect commercial and industrial expansion zones.	Permanently irrigated land, Port areas, Complex cultivation patterns, Discontinuous urban fabric
S2A_MSIL2A_2024_00043	Hydrological VQA	Locate water bodies and calculate inundation level.	Industrial or commercial units, Water courses, Inland marshes
S2A_MSIL2A_2024_00044	Multi-label classification	What land cover classes are present in this satellite scene?	Non-irrigated arable land, Industrial or commercial units, Airports, Complex cultivation patterns
S2A_MSIL2A_2024_00045	Hydrological VQA	Locate water bodies and calculate inundation level.	Water bodies, Pastures
S2A_MSIL2A_2024_00046	Infrastructure VQA	Identify built-up infrastructure and transport corridors.	Broad-leaved forest, Road and rail networks
S2A_MSIL2A_2024_00047	Change Grounding	Detect commercial and industrial expansion zones.	Coniferous forest, Road and rail networks, Broad-leaved forest
S2A_MSIL2A_2024_00048	Infrastructure VQA	Identify built-up infrastructure and transport corridors.	Pastures, Water bodies, Industrial or commercial units, Water courses
S2A_MSIL2A_2024_00049	Hydrological VQA	Locate water bodies and calculate inundation level.	Coniferous forest, Water courses, Non-irrigated arable land
